PROBLEM,DIFFICULTY,DISCRIMINATION
50,-1.511,0.301
28,2.000,0.376
29,1.538,0.438
23,2.000,0.518
53,2.000,0.584
7,1.445,0.597
129,-2.000,0.606
35,2.000,0.689
55,1.388,0.741
32,-2.000,0.761
93,-2.000,0.761
108,-2.000,0.761
120,-2.000,0.761
126,-2.000,0.761
130,-2.000,0.761
132,-2.000,0.761
140,-2.000,0.761
145,-2.000,0.761
91,-2.000,0.778
119,-2.000,0.778
22,1.373,0.799
30,2.000,0.818
48,2.000,0.834
155,-0.814,0.872
77,-2.000,0.975
115,-2.000,0.975
127,-2.000,0.975
163,-2.000,0.975
38,-2.000,0.987
54,-0.028,1.005
121,-0.249,1.018
60,2.000,1.037
4,1.872,1.044
9,-0.477,1.065
3,0.675,1.077
16,1.255,1.081
42,2.000,1.081
8,0.949,1.135
13,2.000,1.139
45,2.000,1.140
122,-1.048,1.143
44,1.172,1.152
34,2.000,1.154
18,0.827,1.208
96,-0.725,1.212
76,-2.000,1.275
100,-2.000,1.275
113,-2.000,1.275
125,-2.000,1.275
0,0.172,1.301
12,1.423,1.326
31,2.000,1.340
58,2.000,1.358
152,2.000,1.425
68,0.247,1.427
83,-1.471,1.427
65,-1.079,1.436
21,2.000,1.454
2,2.000,1.459
43,0.889,1.511
84,0.298,1.519
97,0.299,1.522
47,2.000,1.550
74,-0.358,1.570
11,1.804,1.596
52,2.000,1.613
142,-1.127,1.622
87,-1.132,1.639
116,-0.351,1.656
26,-2.000,1.664
131,-2.000,1.664
134,-2.000,1.664
137,-2.000,1.664
1,-2.000,1.665
64,-2.000,1.665
99,-2.000,1.665
141,-2.000,1.665
150,0.376,1.665
158,-0.737,1.671
25,1.061,1.696
95,-0.747,1.731
90,-0.748,1.736
144,0.430,1.769
160,-1.190,1.805
59,1.173,1.820
51,2.000,1.836
49,2.000,1.838
124,-0.343,1.848
63,0.473,1.854
111,-0.779,1.888
27,1.918,1.904
14,0.087,1.905
39,-1.232,1.907
89,-1.702,1.914
66,2.000,1.949
5,-0.808,2.000
6,-1.753,2.000
10,-1.753,2.000
15,1.694,2.000
17,0.111,2.000
19,0.111,2.000
20,-1.273,2.000
24,0.955,2.000
33,-0.345,2.000
36,-1.273,2.000
37,0.111,2.000
40,0.955,2.000
41,-2.000,2.000
46,0.955,2.000
56,1.336,2.000
57,0.955,2.000
61,1.336,2.000
62,0.111,2.000
67,-1.273,2.000
69,-0.345,2.000
70,0.955,2.000
71,1.336,2.000
72,1.336,2.000
73,-1.273,2.000
75,-2.000,2.000
78,0.547,2.000
79,0.955,2.000
80,0.111,2.000
81,-1.753,2.000
82,2.000,2.000
85,0.955,2.000
86,1.336,2.000
88,-1.753,2.000
92,0.955,2.000
94,0.111,2.000
98,-0.808,2.000
101,-0.345,2.000
102,-0.808,2.000
103,-0.345,2.000
104,0.111,2.000
105,0.111,2.000
106,-0.808,2.000
107,1.336,2.000
109,-0.808,2.000
110,-0.808,2.000
112,0.955,2.000
114,0.547,2.000
117,0.547,2.000
118,-1.753,2.000
123,0.955,2.000
128,-2.000,2.000
133,-2.000,2.000
135,-1.753,2.000
136,0.955,2.000
138,-1.273,2.000
139,-0.345,2.000
143,0.955,2.000
146,0.111,2.000
147,0.955,2.000
148,0.111,2.000
149,-0.345,2.000
151,0.111,2.000
153,0.547,2.000
154,-1.273,2.000
156,0.547,2.000
157,2.000,2.000
159,-0.808,2.000
161,-0.808,2.000
162,2.000,2.000
