PROBLEM,DIFFICULTY,DISCRIMINATION
29,1.254,0.250
50,-1.234,0.337
23,2.000,0.387
28,2.000,0.426
55,0.777,0.526
7,1.524,0.642
53,2.000,0.652
32,-2.000,0.653
64,-2.000,0.653
76,-2.000,0.653
77,-2.000,0.653
89,-2.000,0.653
91,-2.000,0.653
93,-2.000,0.653
100,-2.000,0.653
108,-2.000,0.653
113,-2.000,0.653
115,-2.000,0.653
119,-2.000,0.653
120,-2.000,0.653
125,-2.000,0.653
126,-2.000,0.653
127,-2.000,0.653
129,-2.000,0.653
130,-2.000,0.653
132,-2.000,0.653
140,-2.000,0.653
145,-2.000,0.653
163,-2.000,0.653
9,-0.467,0.723
18,0.640,0.756
35,2.000,0.802
30,2.000,0.863
48,2.000,0.882
22,1.607,0.933
155,-0.850,0.935
58,2.000,0.943
60,2.000,0.952
44,1.348,0.978
54,0.159,0.980
1,-2.000,1.007
99,-2.000,1.007
141,-2.000,1.007
45,2.000,1.060
13,2.000,1.101
4,2.000,1.151
31,2.000,1.151
95,-0.838,1.193
121,-0.838,1.193
65,-0.838,1.194
142,-0.838,1.194
158,-0.838,1.194
49,1.301,1.198
0,-0.211,1.236
43,-0.211,1.236
38,-1.637,1.373
39,-1.638,1.373
160,-1.638,1.373
107,0.487,1.418
85,0.487,1.419
2,2.000,1.429
21,2.000,1.429
3,2.000,1.448
42,2.000,1.448
34,2.000,1.535
52,2.000,1.547
10,-2.000,1.558
26,-2.000,1.558
67,-2.000,1.558
75,-2.000,1.558
118,-2.000,1.558
122,-2.000,1.558
128,-2.000,1.558
131,-2.000,1.558
133,-2.000,1.558
134,-2.000,1.558
135,-2.000,1.558
137,-2.000,1.558
59,-0.128,1.593
46,-0.128,1.595
90,-0.128,1.595
151,-0.128,1.595
83,-0.943,1.665
87,-0.943,1.665
11,1.965,1.669
47,2.000,1.685
51,2.000,1.685
12,1.995,1.691
152,1.995,1.691
8,2.000,1.717
25,2.000,1.882
157,2.000,1.882
70,0.808,1.891
78,0.808,1.891
14,0.808,1.892
15,0.808,1.892
27,1.659,1.968
5,-1.086,2.000
6,-2.000,2.000
16,0.883,2.000
17,0.883,2.000
19,-0.076,2.000
20,-2.000,2.000
24,-0.076,2.000
33,-0.076,2.000
36,-1.086,2.000
37,-0.076,2.000
40,0.883,2.000
41,-2.000,2.000
56,0.883,2.000
57,0.883,2.000
61,0.883,2.000
62,-0.076,2.000
63,-0.076,2.000
66,2.000,2.000
68,-1.086,2.000
69,-1.086,2.000
71,1.693,2.000
72,0.883,2.000
73,-1.086,2.000
74,-2.000,2.000
79,0.883,2.000
80,-1.086,2.000
81,-2.000,2.000
82,1.693,2.000
84,1.693,2.000
86,-0.076,2.000
88,-2.000,2.000
92,-0.076,2.000
94,-1.086,2.000
96,-2.000,2.000
97,0.883,2.000
98,-2.000,2.000
101,-1.086,2.000
102,-1.086,2.000
103,-1.086,2.000
104,-0.076,2.000
105,-1.086,2.000
106,-1.086,2.000
109,-0.076,2.000
110,-2.000,2.000
111,-2.000,2.000
112,-0.076,2.000
114,-0.076,2.000
116,-2.000,2.000
117,-0.076,2.000
123,0.883,2.000
124,-1.086,2.000
136,0.883,2.000
138,-2.000,2.000
139,-1.086,2.000
143,0.883,2.000
144,-1.086,2.000
146,-1.086,2.000
147,0.883,2.000
148,-0.076,2.000
149,-1.086,2.000
150,-1.086,2.000
153,-1.086,2.000
154,-2.000,2.000
156,-0.076,2.000
159,-2.000,2.000
161,-1.086,2.000
162,2.000,2.000
