PROBLEM,DIFFICULTY,DISCRIMINATION
0,0.142,1.226
1,-2.000,2.000
2,2.000,1.417
3,0.701,1.066
4,1.804,0.974
5,-0.854,2.000
6,-1.727,2.000
7,1.517,0.607
8,0.966,1.112
9,-0.410,1.225
10,-1.727,2.000
11,1.805,1.551
12,1.413,1.278
13,2.000,1.105
14,0.046,1.956
15,1.723,2.000
16,1.181,0.999
17,0.052,2.000
18,0.802,1.153
19,0.052,2.000
20,-1.289,2.000
21,2.000,1.417
22,1.442,0.804
23,2.000,0.496
24,0.939,2.000
25,1.059,1.677
26,-2.000,1.481
27,1.896,1.845
28,1.950,0.341
29,1.485,0.403
30,2.000,0.782
31,2.000,1.284
32,-2.000,0.798
33,-0.407,2.000
34,2.000,1.102
35,2.000,0.654
36,-1.289,2.000
37,0.052,2.000
38,-2.000,1.477
39,-1.289,2.000
40,0.939,2.000
41,-2.000,2.000
42,2.000,1.020
43,0.888,1.485
44,1.140,1.092
45,2.000,1.105
46,0.920,1.971
47,2.000,1.461
48,2.000,0.796
49,2.000,1.793
50,-1.452,0.333
51,2.000,1.797
52,2.000,1.512
53,2.000,0.551
54,-0.052,0.938
55,1.563,0.795
56,1.343,2.000
57,0.939,2.000
58,2.000,1.307
59,1.061,1.679
60,2.000,1.008
61,1.311,1.963
62,0.052,2.000
63,0.401,1.750
64,-2.000,2.000
65,-1.068,1.450
66,2.000,1.899
67,-1.289,2.000
68,0.218,1.362
69,-0.407,2.000
70,0.939,2.000
71,1.343,2.000
72,1.343,2.000
73,-1.289,2.000
74,-0.382,1.398
75,-2.000,2.000
76,-2.000,1.481
77,-2.000,1.065
78,0.507,2.000
79,0.939,2.000
80,0.052,2.000
81,-1.727,2.000
82,2.000,2.000
83,-1.727,2.000
84,0.302,1.531
85,0.920,1.971
86,1.343,2.000
87,-1.289,2.000
88,-1.727,2.000
89,-1.727,2.000
90,-0.754,1.679
91,-2.000,0.798
92,0.939,2.000
93,-2.000,0.798
94,0.052,2.000
95,-0.754,1.679
96,-0.710,1.198
97,0.303,1.533
98,-0.854,2.000
99,-2.000,2.000
100,-2.000,1.481
101,-0.407,2.000
102,-0.854,2.000
103,-0.407,2.000
104,0.052,2.000
105,0.052,2.000
106,-0.854,2.000
107,1.310,1.962
108,-2.000,0.798
109,-0.854,2.000
110,-0.854,2.000
111,-0.754,1.679
112,0.939,2.000
113,-2.000,1.481
114,0.507,2.000
115,-2.000,1.065
116,-0.372,1.629
117,0.507,2.000
118,-1.727,2.000
119,-2.000,0.798
120,-2.000,0.798
121,-0.266,0.949
122,-1.029,1.021
123,0.939,2.000
124,-0.402,1.967
125,-2.000,1.481
126,-2.000,0.798
127,-2.000,1.068
128,-2.000,2.000
129,-2.000,0.627
130,-2.000,0.798
131,-2.000,1.485
132,-2.000,0.798
133,-2.000,2.000
134,-2.000,1.485
135,-1.727,2.000
136,0.939,2.000
137,-2.000,1.485
138,-1.289,2.000
139,-0.407,2.000
140,-2.000,0.798
141,-2.000,2.000
142,-1.068,1.450
143,0.939,2.000
144,0.405,1.760
145,-2.000,0.798
146,0.052,2.000
147,0.939,2.000
148,0.052,2.000
149,-0.402,1.967
150,0.303,1.533
151,0.052,2.000
152,2.000,1.375
153,0.507,2.000
154,-1.289,2.000
155,-0.765,0.929
156,0.507,2.000
157,2.000,2.000
158,-0.754,1.679
159,-0.854,2.000
160,-1.289,2.000
161,-0.854,2.000
162,2.000,2.000
163,-2.000,1.068
