PROBLEM,DIFFICULTY,DISCRIMINATION
0,-0.211,1.236
1,-2.000,1.007
2,2.000,1.429
3,2.000,1.448
4,2.000,1.151
5,-1.086,2.000
6,-2.000,2.000
7,1.524,0.642
8,2.000,1.717
9,-0.467,0.723
10,-2.000,1.558
11,1.965,1.669
12,1.995,1.691
13,2.000,1.101
14,0.808,1.892
15,0.808,1.892
16,0.883,2.000
17,0.883,2.000
18,0.640,0.756
19,-0.076,2.000
20,-2.000,2.000
21,2.000,1.429
22,1.607,0.933
23,2.000,0.387
24,-0.076,2.000
25,2.000,1.882
26,-2.000,1.558
27,1.659,1.968
28,2.000,0.426
29,1.254,0.250
30,2.000,0.863
31,2.000,1.151
32,-2.000,0.653
33,-0.076,2.000
34,2.000,1.535
35,2.000,0.802
36,-1.086,2.000
37,-0.076,2.000
38,-1.637,1.373
39,-1.638,1.373
40,0.883,2.000
41,-2.000,2.000
42,2.000,1.448
43,-0.211,1.236
44,1.348,0.978
45,2.000,1.060
46,-0.128,1.595
47,2.000,1.685
48,2.000,0.882
49,1.301,1.198
50,-1.234,0.337
51,2.000,1.685
52,2.000,1.547
53,2.000,0.652
54,0.159,0.980
55,0.777,0.526
56,0.883,2.000
57,0.883,2.000
58,2.000,0.943
59,-0.128,1.593
60,2.000,0.952
61,0.883,2.000
62,-0.076,2.000
63,-0.076,2.000
64,-2.000,0.653
65,-0.838,1.194
66,2.000,2.000
67,-2.000,1.558
68,-1.086,2.000
69,-1.086,2.000
70,0.808,1.891
71,1.693,2.000
72,0.883,2.000
73,-1.086,2.000
74,-2.000,2.000
75,-2.000,1.558
76,-2.000,0.653
77,-2.000,0.653
78,0.808,1.891
79,0.883,2.000
80,-1.086,2.000
81,-2.000,2.000
82,1.693,2.000
83,-0.943,1.665
84,1.693,2.000
85,0.487,1.419
86,-0.076,2.000
87,-0.943,1.665
88,-2.000,2.000
89,-2.000,0.653
90,-0.128,1.595
91,-2.000,0.653
92,-0.076,2.000
93,-2.000,0.653
94,-1.086,2.000
95,-0.838,1.193
96,-2.000,2.000
97,0.883,2.000
98,-2.000,2.000
99,-2.000,1.007
100,-2.000,0.653
101,-1.086,2.000
102,-1.086,2.000
103,-1.086,2.000
104,-0.076,2.000
105,-1.086,2.000
106,-1.086,2.000
107,0.487,1.418
108,-2.000,0.653
109,-0.076,2.000
110,-2.000,2.000
111,-2.000,2.000
112,-0.076,2.000
113,-2.000,0.653
114,-0.076,2.000
115,-2.000,0.653
116,-2.000,2.000
117,-0.076,2.000
118,-2.000,1.558
119,-2.000,0.653
120,-2.000,0.653
121,-0.838,1.193
122,-2.000,1.558
123,0.883,2.000
124,-1.086,2.000
125,-2.000,0.653
126,-2.000,0.653
127,-2.000,0.653
128,-2.000,1.558
129,-2.000,0.653
130,-2.000,0.653
131,-2.000,1.558
132,-2.000,0.653
133,-2.000,1.558
134,-2.000,1.558
135,-2.000,1.558
136,0.883,2.000
137,-2.000,1.558
138,-2.000,2.000
139,-1.086,2.000
140,-2.000,0.653
141,-2.000,1.007
142,-0.838,1.194
143,0.883,2.000
144,-1.086,2.000
145,-2.000,0.653
146,-1.086,2.000
147,0.883,2.000
148,-0.076,2.000
149,-1.086,2.000
150,-1.086,2.000
151,-0.128,1.595
152,1.995,1.691
153,-1.086,2.000
154,-2.000,2.000
155,-0.850,0.935
156,-0.076,2.000
157,2.000,1.882
158,-0.838,1.194
159,-2.000,2.000
160,-1.638,1.373
161,-1.086,2.000
162,2.000,2.000
163,-2.000,0.653
