PROBLEM,DIFFICULTY,DISCRIMINATION
29,1.334,0.250
50,-1.256,0.351
28,2.000,0.402
23,2.000,0.438
55,0.840,0.484
7,1.592,0.613
53,2.000,0.616
32,-2.000,0.671
64,-2.000,0.671
76,-2.000,0.671
77,-2.000,0.671
89,-2.000,0.671
91,-2.000,0.671
93,-2.000,0.671
100,-2.000,0.671
108,-2.000,0.671
113,-2.000,0.671
115,-2.000,0.671
119,-2.000,0.671
120,-2.000,0.671
125,-2.000,0.671
126,-2.000,0.671
127,-2.000,0.671
129,-2.000,0.671
130,-2.000,0.671
132,-2.000,0.671
140,-2.000,0.671
145,-2.000,0.671
163,-2.000,0.671
9,-0.480,0.744
35,2.000,0.751
18,0.625,0.781
30,2.000,0.803
48,2.000,0.819
155,-0.862,0.954
22,1.578,0.957
45,2.000,0.960
58,2.000,0.980
60,2.000,0.989
13,2.000,0.990
54,0.152,1.004
44,1.339,1.008
1,-2.000,1.019
99,-2.000,1.019
141,-2.000,1.019
31,2.000,1.026
4,2.000,1.187
95,-0.848,1.209
121,-0.848,1.209
65,-0.848,1.210
142,-0.848,1.210
158,-0.848,1.210
49,1.306,1.232
0,-0.218,1.255
43,-0.218,1.255
38,-1.646,1.383
39,-1.646,1.384
160,-1.646,1.384
85,0.487,1.442
107,0.487,1.442
2,2.000,1.466
21,2.000,1.466
3,2.000,1.480
42,2.000,1.480
10,-2.000,1.562
26,-2.000,1.562
67,-2.000,1.562
75,-2.000,1.562
118,-2.000,1.562
122,-2.000,1.562
128,-2.000,1.562
131,-2.000,1.562
133,-2.000,1.562
134,-2.000,1.562
135,-2.000,1.562
137,-2.000,1.562
34,2.000,1.569
52,2.000,1.582
59,-0.132,1.607
46,-0.132,1.609
90,-0.132,1.609
151,-0.132,1.609
83,-0.949,1.673
87,-0.949,1.673
11,1.997,1.715
47,2.000,1.717
51,2.000,1.717
12,2.000,1.725
152,2.000,1.725
8,2.000,1.740
25,2.000,1.908
157,2.000,1.908
70,0.812,1.909
78,0.812,1.909
14,0.813,1.910
15,0.813,1.910
5,-1.087,2.000
6,-2.000,2.000
16,0.876,2.000
17,0.876,2.000
19,-0.079,2.000
20,-2.000,2.000
24,-0.079,2.000
27,1.680,2.000
33,-0.079,2.000
36,-1.087,2.000
37,-0.079,2.000
40,0.876,2.000
41,-2.000,2.000
56,0.876,2.000
57,0.876,2.000
61,0.876,2.000
62,-0.079,2.000
63,-0.079,2.000
66,2.000,2.000
68,-1.087,2.000
69,-1.087,2.000
71,1.680,2.000
72,0.876,2.000
73,-1.087,2.000
74,-2.000,2.000
79,0.876,2.000
80,-1.087,2.000
81,-2.000,2.000
82,1.680,2.000
84,1.680,2.000
86,-0.079,2.000
88,-2.000,2.000
92,-0.079,2.000
94,-1.087,2.000
96,-2.000,2.000
97,0.876,2.000
98,-2.000,2.000
101,-1.087,2.000
102,-1.087,2.000
103,-1.087,2.000
104,-0.079,2.000
105,-1.087,2.000
106,-1.087,2.000
109,-0.079,2.000
110,-2.000,2.000
111,-2.000,2.000
112,-0.079,2.000
114,-0.079,2.000
116,-2.000,2.000
117,-0.079,2.000
123,0.876,2.000
124,-1.087,2.000
136,0.876,2.000
138,-2.000,2.000
139,-1.087,2.000
143,0.876,2.000
144,-1.087,2.000
146,-1.087,2.000
147,0.876,2.000
148,-0.079,2.000
149,-1.087,2.000
150,-1.087,2.000
153,-1.087,2.000
154,-2.000,2.000
156,-0.079,2.000
159,-2.000,2.000
161,-1.087,2.000
162,2.000,2.000
